nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Quảng Ngãi,0.75,1
2023,Quảng Ngãi,2.8,2
2023,Quảng Ngãi,3.5,1
2023,Quảng Ngãi,4.75,1
2023,Quảng Ngãi,5.5,1
2023,Quảng Ngãi,5.75,1
2023,Quảng Ngãi,6.2,2
2023,Quảng Ngãi,6.5,1
2023,Quảng Ngãi,7.0,1
2023,Quảng Ngãi,7.2,1
2023,Quảng Ngãi,7.7,1
2023,Quảng Ngãi,8.2,2
2023,Quảng Ngãi,8.25,1
2023,Quảng Ngãi,8.35,1
2023,Quảng Ngãi,8.45,1
2023,Quảng Ngãi,8.65,1
2023,Quảng Ngãi,8.95,1
2023,Quảng Ngãi,9.0,1
2023,Quảng Ngãi,9.1,1
2023,Quảng Ngãi,9.15,1
2023,Quảng Ngãi,9.2,1
2023,Quảng Ngãi,9.25,1
2023,Quảng Ngãi,9.35,1
2023,Quảng Ngãi,9.5,2
2023,Quảng Ngãi,9.55,2
2023,Quảng Ngãi,9.6,2
2023,Quảng Ngãi,9.65,1
2023,Quảng Ngãi,9.7,1
2023,Quảng Ngãi,9.75,2
2023,Quảng Ngãi,9.8,1
2023,Quảng Ngãi,9.85,1
2023,Quảng Ngãi,9.9,2
2023,Quảng Ngãi,9.95,2
2023,Quảng Ngãi,10.0,1
2023,Quảng Ngãi,10.05,2
2023,Quảng Ngãi,10.1,1
2023,Quảng Ngãi,10.15,1
2023,Quảng Ngãi,10.2,2
2023,Quảng Ngãi,10.25,1
2023,Quảng Ngãi,10.3,2
2023,Quảng Ngãi,10.35,3
2023,Quảng Ngãi,10.55,2
2023,Quảng Ngãi,10.6,1
2023,Quảng Ngãi,10.65,3
2023,Quảng Ngãi,10.7,4
2023,Quảng Ngãi,10.75,3
2023,Quảng Ngãi,10.8,4
2023,Quảng Ngãi,10.85,6
2023,Quảng Ngãi,10.95,4
2023,Quảng Ngãi,11.05,1
2023,Quảng Ngãi,11.1,1
2023,Quảng Ngãi,11.15,2
2023,Quảng Ngãi,11.2,2
2023,Quảng Ngãi,11.3,4
2023,Quảng Ngãi,11.35,2
2023,Quảng Ngãi,11.4,2
2023,Quảng Ngãi,11.45,2
2023,Quảng Ngãi,11.5,4
2023,Quảng Ngãi,11.55,2
2023,Quảng Ngãi,11.6,2
2023,Quảng Ngãi,11.65,1
2023,Quảng Ngãi,11.7,2
2023,Quảng Ngãi,11.75,5
2023,Quảng Ngãi,11.8,2
2023,Quảng Ngãi,11.9,1
2023,Quảng Ngãi,11.95,1
2023,Quảng Ngãi,12.0,8
2023,Quảng Ngãi,12.05,6
2023,Quảng Ngãi,12.1,4
2023,Quảng Ngãi,12.15,2
2023,Quảng Ngãi,12.2,2
2023,Quảng Ngãi,12.25,5
2023,Quảng Ngãi,12.3,2
2023,Quảng Ngãi,12.35,2
2023,Quảng Ngãi,12.4,4
2023,Quảng Ngãi,12.45,2
2023,Quảng Ngãi,12.5,6
2023,Quảng Ngãi,12.55,2
2023,Quảng Ngãi,12.6,6
