nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Thành phố Hồ Chí Minh,0.45,1
2023,Thành phố Hồ Chí Minh,2.25,1
2023,Thành phố Hồ Chí Minh,2.8,1
2023,Thành phố Hồ Chí Minh,3.0,1
2023,Thành phố Hồ Chí Minh,3.25,2
2023,Thành phố Hồ Chí Minh,3.5,2
2023,Thành phố Hồ Chí Minh,3.75,2
2023,Thành phố Hồ Chí Minh,4.0,3
2023,Thành phố Hồ Chí Minh,4.25,2
2023,Thành phố Hồ Chí Minh,4.5,1
2023,Thành phố Hồ Chí Minh,5.0,3
2023,Thành phố Hồ Chí Minh,5.15,1
2023,Thành phố Hồ Chí Minh,5.2,1
2023,Thành phố Hồ Chí Minh,5.25,3
2023,Thành phố Hồ Chí Minh,5.5,3
2023,Thành phố Hồ Chí Minh,5.6,1
2023,Thành phố Hồ Chí Minh,5.7,1
2023,Thành phố Hồ Chí Minh,5.75,6
2023,Thành phố Hồ Chí Minh,5.85,1
2023,Thành phố Hồ Chí Minh,6.0,2
2023,Thành phố Hồ Chí Minh,6.2,2
2023,Thành phố Hồ Chí Minh,6.25,4
2023,Thành phố Hồ Chí Minh,6.3,1
2023,Thành phố Hồ Chí Minh,6.4,2
2023,Thành phố Hồ Chí Minh,6.45,1
2023,Thành phố Hồ Chí Minh,6.5,6
2023,Thành phố Hồ Chí Minh,6.55,1
2023,Thành phố Hồ Chí Minh,6.6,2
2023,Thành phố Hồ Chí Minh,6.75,4
2023,Thành phố Hồ Chí Minh,6.8,1
2023,Thành phố Hồ Chí Minh,6.85,1
2023,Thành phố Hồ Chí Minh,7.0,2
2023,Thành phố Hồ Chí Minh,7.15,1
2023,Thành phố Hồ Chí Minh,7.2,1
2023,Thành phố Hồ Chí Minh,7.25,2
2023,Thành phố Hồ Chí Minh,7.4,1
2023,Thành phố Hồ Chí Minh,7.5,3
2023,Thành phố Hồ Chí Minh,7.6,1
2023,Thành phố Hồ Chí Minh,7.65,1
2023,Thành phố Hồ Chí Minh,7.7,1
2023,Thành phố Hồ Chí Minh,7.75,1
2023,Thành phố Hồ Chí Minh,7.85,3
2023,Thành phố Hồ Chí Minh,7.9,1
2023,Thành phố Hồ Chí Minh,8.0,4
2023,Thành phố Hồ Chí Minh,8.1,1
2023,Thành phố Hồ Chí Minh,8.15,1
2023,Thành phố Hồ Chí Minh,8.2,1
2023,Thành phố Hồ Chí Minh,8.4,2
2023,Thành phố Hồ Chí Minh,8.5,1
2023,Thành phố Hồ Chí Minh,8.55,1
2023,Thành phố Hồ Chí Minh,8.6,4
2023,Thành phố Hồ Chí Minh,8.7,2
2023,Thành phố Hồ Chí Minh,8.75,1
2023,Thành phố Hồ Chí Minh,8.8,1
2023,Thành phố Hồ Chí Minh,8.85,1
2023,Thành phố Hồ Chí Minh,8.850000000000001,1
2023,Thành phố Hồ Chí Minh,8.95,1
2023,Thành phố Hồ Chí Minh,9.0,5
2023,Thành phố Hồ Chí Minh,9.05,1
2023,Thành phố Hồ Chí Minh,9.1,1
2023,Thành phố Hồ Chí Minh,9.15,1
2023,Thành phố Hồ Chí Minh,9.2,2
2023,Thành phố Hồ Chí Minh,9.25,2
2023,Thành phố Hồ Chí Minh,9.35,1
2023,Thành phố Hồ Chí Minh,9.350000000000001,1
2023,Thành phố Hồ Chí Minh,9.45,1
2023,Thành phố Hồ Chí Minh,9.5,5
2023,Thành phố Hồ Chí Minh,9.55,1
2023,Thành phố Hồ Chí Minh,9.6,1
2023,Thành phố Hồ Chí Minh,9.65,3
2023,Thành phố Hồ Chí Minh,9.7,1
2023,Thành phố Hồ Chí Minh,9.75,3
2023,Thành phố Hồ Chí Minh,9.8,1
2023,Thành phố Hồ Chí Minh,9.85,2
2023,Thành phố Hồ Chí Minh,10.0,4
